ticketID,price,slotID,seats
TOAM493820191112143113,6.0,TOAM4938,J08+,CHILD+
TOAM493820191112164629,9.0,TOAM4938,E11+,STUDENT+
GEJE280720191112141358,33.8,GEJE2807,L01+L02+L03+,ADULT+CHILD+ADULT+
GEJE280720191112141116,20.3,GEJE2807,F09+F10+,ADULT+CHILD+
DOJE174620191112143837,13.5,DOJE1746,L01+,ADULT+
JUJE375820191112142451,18.0,JUJE3758,I01+I02+I03+,ADULT+CHILD+DISABLED+
AVAM177220191112142713,13.5,AVAM1772,L01+L02+,ADULT+CHILD+
JUJE375820191112150645,18.0,JUJE3758,F10+F11+F13+,CHILD+CHILD+ADULT+
DOBU541220191112142317,60.0,DOBU5412,E01+E02+E03+E04+,ADULT+CHILD+STUDENT+SENIOR_CITIZEN+
JUJE375820191112164207,18.0,JUJE3758,G10+G11+,ADULT+ADULT+
AVAM177220191112144717,13.5,AVAM1772,L04+L05+,ADULT+DISABLED+
TOAM493820191112154326,6.0,TOAM4938,L01+,CHILD+
TOAM493820191112163911,12.0,TOAM4938,I10+,ADULT+
